Metodo,n_ou_k,Aproximacao,ErroAbs
Gauss-Legendre,1,2.8331340425634277,1.5063329873739368
Gauss-Legendre,2,4.24915250497479,0.09031452496257497
Gauss-Legendre,3,4.337369366206755,0.002097663730609156
Gauss-Legendre,4,4.339441027554544,2.6002382820244918e-05
Gauss-Legendre,5,4.339466829508185,2.004291799195812e-07
Gauss-Legendre,6,4.339467028884034,1.053330755951265e-09
Gauss-Legendre,7,4.339467029933349,4.015454635464266e-12
Gauss-Legendre,8,4.339467029937355,9.769962616701378e-15
Romberg,1,7.767554950104393,3.4280879201670285
Romberg,2,4.477941011743749,0.13847398180638404
Romberg,3,4.341681302612129,0.0022142726747640396
Romberg,4,4.339476563451521,9.533514156778722e-06
Romberg,5,4.339467040365851,1.042848651877648e-08
Romberg,6,4.339467029940225,2.8608226898541034e-12
